"|","|__artist","|__album"
"Don't You (Forget About Me)","Simple Minds","Once Upon a Time"
"Kids in America","Kim Wilde","Kim Wilde"
"I Wanna Dance With Somebody","Whitney Houston","Whitney"
"We Built This City","Starship","Knee Deep in the Hoopla"
"Don't Stop Believin'","Journey","Escape"
"Viva La Vida","Coldplay","Viva La Vida and Death and all his Friends"
"Angels","Robbie Williams","Life Thru a Lens"
"Somewhere Only We Know","Keane","Hopes and Fears"
"1973","James Blunt","All the Lost Souls"
"Take On Me","a-ha","Hunting High and Low"
"Wonderwall","Oasis","(What's the Story?) Morning Glory"
"Summer of '69","Bryan Adams","Reckless"
"Sweet Dreams","Eurythmics","Sweet Dreams (Are Made of This)"
"Wake Me Up Before You Go-Go","Wham!","Make it Big"
"We Didn't Start the Fire","Billy Joel","Storm Front"
"Jump","Van Halen","1984"
